iter	Passed	Remaining
587	10041	7036
588	10052	7014
589	10066	6995
590	10078	6975
591	10093	6956
592	10107	6936
593	10120	6917
594	10133	6897
595	10146	6877
596	10159	6858
597	10172	6838
598	10186	6819
599	10200	6800
600	10215	6781
601	10243	6772
602	10256	6752
603	10270	6733
604	10282	6713
605	10295	6694
606	10311	6676
607	10327	6658
608	10340	6639
609	10354	6620
610	10367	6600
611	10381	6581
612	10395	6562
613	10409	6543
614	10422	6524
615	10435	6505
616	10450	6487
617	10464	6468
618	10477	6449
619	10491	6430
620	10504	6411
621	10518	6392
622	10532	6373
623	10545	6354
624	10558	6335
625	10572	6316
626	10586	6297
627	10599	6278
628	10609	6257
629	10622	6238
630	10635	6219
631	10649	6200
632	10662	6181
633	10676	6163
634	10689	6144
635	10703	6125
636	10713	6105
637	10724	6085
638	10735	6064
639	10746	6044
640	10759	6026
641	10772	6007
642	10786	5989
643	10800	5970
644	10814	5952
645	10827	5933
646	10841	5915
647	10859	5898
648	10877	5882
649	10888	5863
650	10902	5844
651	10915	5825
652	10928	5807
653	10942	5789
654	10955	5770
655	10968	5751
656	10978	5731
657	10989	5711
658	11000	5692
659	11013	5673
660	11028	5656
661	11042	5637
662	11055	5619
663	11068	5601
664	11083	5583
665	11093	5563
666	11104	5543
667	11118	5525
668	11129	5506
669	11143	5488
670	11156	5470
671	11169	5451
672	11183	5433
673	11196	5415
674	11210	5397
675	11224	5380
676	11237	5361
677	11250	5343
678	11261	5323
679	11275	5305
680	11285	5286
681	11298	5268
682	11313	5250
683	11323	5231
684	11335	5212
685	11349	5194
686	11363	5177
687	11377	5159
688	11391	5141
689	11404	5123
690	11417	5105
691	11428	5086
692	11438	5067
693	11450	5048
694	11460	5029
695	11473	5011
696	11487	4993
697	11500	4975
698	11514	4958
699	11527	4940
700	11541	4922
701	11555	4905
702	11569	4887
703	11583	4870
704	11596	4852
705	11610	4834
706	11623	4816
707	11637	4799
708	11649	4781
709	11663	4764
710	11676	4746
711	11690	4728
712	11702	4710
713	11715	4692
714	11730	4675
715	11746	4659
716	11766	4644
717	11787	4629
718	11804	4613
719	11817	4595
720	11828	4577
721	11838	4558
722	11851	4540
723	11865	4523
724	11876	4504
725	11886	4486
726	11900	4468
727	11910	4450
728	11921	4431
729	11931	4412
730	11944	4395
731	11956	4377
732	11971	4360
733	11981	4341
734	11991	4323
735	12002	4305
736	12012	4286
737	12024	4268
738	12035	4250
739	12045	4232
740	12056	4213
741	12066	4195
742	12077	4177
743	12087	4159
744	12101	4142
745	12113	4124
746	12128	4107
747	12141	4090
748	12155	4073
749	12169	4056
750	12181	4038
751	12195	4022
752	12209	4005
753	12223	3988
754	12238	3971
755	12248	3953
756	12259	3935
757	12270	3917
758	12286	3901
759	12299	3883
760	12309	3866
761	12320	3848
762	12331	3830
763	12345	3813
764	12358	3796
765	12372	3779
766	12386	3762
767	12400	3745
768	12414	3729
769	12424	3711
770	12439	3694
771	12453	3677
772	12462	3659
773	12476	3643
774	12489	3626
775	12503	3609
776	12517	3592
777	12531	3575
778	12545	3559
779	12555	3541
780	12569	3524
781	12582	3507
782	12592	3490
783	12607	3473
784	12621	3456
785	12637	3440
786	12650	3423
787	12664	3407
788	12674	3389
789	12688	3372
790	12701	3356
791	12715	3339
792	12728	3322
793	12741	3305
794	12754	3288
795	12764	3271
796	12778	3254
797	12792	3238
798	12802	3220
799	12816	3204
800	12835	3188
801	12849	3172
802	12859	3154
803	12870	3137
804	12880	3120
805	12894	3103
806	12905	3086
807	12915	3069
808	12925	3051
809	12936	3034
810	12947	3017
811	12957	3000
812	12968	2982
813	12981	2966
814	12991	2949
815	13006	2932
816	13019	2916
817	13033	2899
818	13047	2883
819	13060	2866
820	13073	2850
821	13087	2834
822	13102	2817
823	13116	2801
824	13129	2784
825	13143	2768
826	13157	2752
827	13167	2735
828	13178	2718
829	13192	2702
830	13205	2685
831	13215	2668
832	13226	2651
833	13236	2634
834	13247	2617
835	13257	2600
836	13267	2583
837	13282	2567
838	13293	2550
839	13304	2534
840	13318	2517
841	13328	2501
842	13342	2484
843	13358	2469
844	13368	2452
845	13382	2436
846	13396	2419
847	13410	2403
848	13424	2387
849	13437	2371
850	13448	2354
851	13463	2338
852	13477	2322
853	13491	2306
854	13504	2290
855	13514	2273
856	13525	2256
857	13535	2240
858	13550	2224
859	13563	2208
860	13573	2191
861	13584	2174
862	13598	2158
863	13611	2142
864	13622	2126
865	13636	2110
866	13650	2093
867	13660	2077
868	13673	2061
869	13686	2045
870	13699	2029
871	13710	2012
872	13725	1996
873	13738	1980
874	13752	1964
875	13766	1948
876	13780	1932
877	13791	1916
878	13802	1900
879	13814	1883
880	13825	1867
881	13837	1851
882	13848	1834
883	13859	1818
884	13870	1802
885	13881	1786
886	13892	1769
887	13903	1753
888	13914	1737
889	13925	1721
890	13939	1705
891	13953	1689
892	13963	1673
893	13974	1656
894	13984	1640
895	13995	1624
896	14005	1608
897	14016	1592
898	14026	1575
899	14040	1560
900	14053	1544
901	14067	1528
902	14077	1512
903	14091	1496
904	14104	1480
905	14118	1464
906	14128	1448
907	14141	1432
908	14152	1416
909	14162	1400
910	14174	1384
911	14184	1368
912	14194	1352
913	14208	1336
914	14219	1320
915	14232	1305
916	14243	1289
917	14254	1273
918	14270	1257
919	14286	1242
920	14296	1226
921	14310	1210
922	14321	1194
923	14332	1178
924	14345	1163
925	14359	1147
926	14373	1131
927	14387	1116
928	14397	1100
929	14408	1084
930	14419	1068
931	14433	1053
932	14447	1037
933	14459	1021
934	14470	1005
935	14484	990
936	14498	974
937	14511	959
938	14522	943
939	14533	927
940	14547	912
941	14560	896
942	14570	880
943	14581	864
944	14591	849
945	14605	833
946	14618	818
947	14629	802
948	14640	786
949	14652	771
950	14662	755
951	14674	739
952	14684	724
953	14695	708
954	14706	692
955	14718	677
956	14729	661
957	14743	646
958	14757	630
959	14771	615
960	14785	600
961	14798	584
962	14810	569
963	14821	553
964	14834	538
965	14846	522
966	14857	507
967	14868	491
968	14879	476
969	14890	460
970	14901	445
971	14912	429
972	14923	414
973	14934	398
974	14945	383
975	14956	367
976	14967	352
977	14978	336
978	14992	321
979	15003	306
980	15013	290
981	15024	275
982	15035	260
983	15046	244
984	15057	229
985	15069	213
986	15080	198
987	15091	183
988	15102	167
989	15112	152
990	15123	137
991	15137	122
992	15149	106
993	15160	91
994	15171	76
995	15182	60
996	15193	45
997	15205	30
998	15216	15
999	15227	0
